species_id,tautomer_id,protomer_id,protomer_smiles,is_zwitterion,conformer_qm_count,conformer_labels,conformer_gas_sp_energy_kcal_mol_list,conformer_gas_sp_energy_xtb_kcal_mol_list,conformer_solvation_free_energy_kcal_mol_list,conformer_rrho_contribution_kcal_mol_list,conformer_solution_phase_free_energy_kcal_mol_list,solvation_free_energy_kcal_mol,gas_sp_energy_kcal_mol,gas_sp_energy_xtb_kcal_mol,rrho_contribution_kcal_mol,solution_phase_free_energy_kcal_mol,delta_g_kcal_mol,boltzmann_fraction,workflow_status,connectivity_mismatch,screening_solution_phase_free_energy_kcal_mol,screening_solvation_free_energy_kcal_mol,screening_gas_sp_energy_kcal_mol,screening_gas_sp_energy_xtb_kcal_mol,screening_rrho_contribution_kcal_mol,screening_delta_kcal_mol,screening_placeholder_solution_phase_free_energy_kcal_mol,screening_skipped_postopt,solvent,degeneracy,formal_charge
CJCSPKMFHVPWAR-UHFFFAOYSA-N,0,0,CC(N)(Cc1ccc(O)c(O)c1)C(=O)O,False,4,"[""conf 1/4"", ""conf 3/4"", ""conf 2/4"", ""conf 4/4""]","[-467261.0656541137, -467259.3017520322, -467257.75808727206, -467258.3748020269]","[-29643.554610220173, -29642.903719954575, -29641.746556472892, -29642.224679542436]","[-20.9305785073747, -21.417525859247668, -22.140416773368358, -21.74383078576048]","[112.32016877884955, 111.39565751950897, 111.68952743763191, 112.03187354005998]","[-467169.67606384226, -467169.3236203719, -467168.2089766078, -467168.08675927256]",-22.53213525367326,-467261.1031648682,-29643.789521229832,110.93918212993754,-467169.99188148469,7.6443977224407718,2.4923928822309248e-06,conformer_refined,false,,,,,,,,,dmso,,0
CJCSPKMFHVPWAR-UHFFFAOYSA-N,0,1,CC([NH3+])(Cc1ccc(O)c(O)c1)C(=O)[O-],True,5,"[""conf 1/8"", ""conf 8/8"", ""conf 3/8"", ""conf 5/8"", ""conf 7/8""]","[-467251.0142503175, -467244.7178661671, -467246.89932532364, -467246.3055317573, -467243.91212958726]","[-29629.427530086927, -29622.230744405068, -29627.133894267667, -29626.42119331549, -29624.70825354051]","[-39.230009790002825, -42.41524788034712, -40.395294883338, -40.126720828439, -41.7318900630924]","[112.62888643269933, 111.7281196882081, 112.4595498805188, 112.47121569768039, 112.35019515236417]","[-467177.6153736748, -467175.4049943592, -467174.83507032646, -467173.961036888, -467173.293824498]",-42.603613921621822,-467251.01504803699,-29629.443570158957,111.2760042935213,-467177.63627920713,0,0.99999750686914779,conformer_refined,false,,,,,,,,,dmso,,0
CJCSPKMFHVPWAR-UHFFFAOYSA-N,0,2,CC([NH3+])(Cc1ccc([O-])c(O)c1)C(=O)O,True,3,"[""conf 3/3"", ""conf 1/3"", ""conf 2/3""]","[-467219.00050901494, -467220.29243378947, -467219.89388974896]","[-29594.52038170523, -29597.432138927838, -29596.6041105615]","[-56.53923112255937, -53.46066964280581, -53.849098007250866]","[110.51590722882415, 110.5116398851588, 110.91019539282726]","[-467165.0238329087, -467163.2414635471, -467162.83279236336]",-56.548756813206666,-467220.57948044641,-29597.566496579628,109.96800296365933,-467165.06621178461,12.570067422522698,6.1104832367895995e-10,conformer_refined,false,,,,,,,,,dmso,,0
CJCSPKMFHVPWAR-UHFFFAOYSA-N,0,3,CC([NH3+])(Cc1ccc(O)c([O-])c1)C(=O)O,True,3,"[""conf 1/4"", ""conf 4/4"", ""conf 2/4""]","[-467218.36704248993, -467221.2970265152, -467218.4844533014]","[-29595.269337576385, -29597.817984473328, -29596.272770097363]","[-56.473970137256806, -52.20000310941303, -53.85474559251743]","[111.01304153435852, 110.94619983198298, 110.87626834763078]","[-467163.82797109283, -467162.5508297926, -467161.4629305463]",-56.481483445444645,-467221.30631118687,-29597.867534030367,110.29162771142025,-467163.9026362024,13.733643004728947,8.5737089507864998e-11,conformer_refined,false,,,,,,,,,dmso,,0
CJCSPKMFHVPWAR-UHFFFAOYSA-N,1,0,CC(N)(C=C1C=C(O)C(=O)CC1)C(=O)O,False,1,,[-467147.32573093113],[-29545.035571937642],[-22.973749354924152],[109.34326788635039],[-467060.9562123997],-22.973749354924152,,-29545.035571937642,109.34326788635039,-467096.98183715023,80.654442056897096,7.5837259150698171e-60,post_xtb_screened_out,,-467060.9562123997,-22.973749354924152,-467147.32573093113,-29545.035571937642,109.34326788635039,80.654442056897096,-467096.98183715023,true,dmso,1,0
CJCSPKMFHVPWAR-UHFFFAOYSA-N,1,1,CC([NH3+])(C=C1C=C(O)C(=O)CC1)C(=O)[O-],True,1,,[-467111.00791848695],[-29498.78824601271],[-62.89527458534452],[109.43392853184649],[-467064.4692645405],-62.895274585344517,,-29498.788246012711,109.43392853184649,-467100.494889291,77.141389916127082,2.8508063503186459e-57,post_xtb_screened_out,,-467064.46926454047,-62.895274585344517,-467111.00791848695,-29498.788246012711,109.43392853184649,77.141389916127082,-467100.494889291,true,dmso,1,0
CJCSPKMFHVPWAR-UHFFFAOYSA-N,1,2,CC([NH3+])(C=C1C=C([O-])C(=O)CC1)C(=O)O,True,1,,[-467089.36018201394],[-29476.70603971645],[-60.92363981783825],[107.92065470249393],[-467042.36316712934],-60.92363981783825,,-29476.70603971645,107.92065470249393,-467078.38879187987,99.247487327258568,1.7827312163278853e-73,post_xtb_screened_out,,-467042.36316712934,-60.92363981783825,-467089.36018201394,-29476.70603971645,107.92065470249393,99.247487327258568,-467078.38879187987,true,dmso,1,0
CJCSPKMFHVPWAR-UHFFFAOYSA-N,2,0,CC(N)(C=C1C=C(O)C(O)=CC1)C(=O)O,False,1,,[-467115.56594781874],[-29518.915570097266],[-22.1448093396868],[107.07127869100884],[-467030.6394784674],-22.144809339686802,,-29518.915570097266,107.07127869100884,-467066.66510321794,110.97117598919431,4.5452988782013884e-82,post_xtb_screened_out,,-467030.6394784674,-22.144809339686802,-467115.56594781874,-29518.915570097266,107.07127869100884,110.97117598919431,-467066.66510321794,true,dmso,1,0
CJCSPKMFHVPWAR-UHFFFAOYSA-N,2,1,CC([NH3+])(C=C1C=C(O)C(O)=CC1)C(=O)[O-],True,1,,[-467074.3038189659],[-29472.85253574177],[-58.473842831095915],[105.84604578591626],[-467026.9316160111],-58.473842831095915,,-29472.852535741771,105.84604578591626,-467062.95724076161,114.67903844552347,8.7032288754138655e-85,post_xtb_screened_out,,-467026.93161601108,-58.473842831095915,-467074.30381896591,-29472.852535741771,105.84604578591626,114.67903844552347,-467062.95724076161,true,dmso,1,0
CJCSPKMFHVPWAR-UHFFFAOYSA-N,2,2,CC([NH3+])(C=C1C=C([O-])C(O)=CC1)C(=O)O,True,1,,[-467074.6629330282],[-29468.304638606503],[-65.12293321826851],[108.12959121895],[-467031.6562750275],-65.122933218268514,,-29468.304638606503,108.12959121895,-467067.68189977802,109.95437942910939,2.5285962897675543e-81,post_xtb_screened_out,,-467031.65627502749,-65.122933218268514,-467074.66293302819,-29468.304638606503,108.12959121895,109.95437942910939,-467067.68189977802,true,dmso,1,0
CJCSPKMFHVPWAR-UHFFFAOYSA-N,2,3,CC([NH3+])(C=C1C=C(O)C([O-])=CC1)C(=O)O,True,1,,[-467066.56372977374],[-29462.999732488],[-65.39903738685628],[107.02585739538856],[-467024.93690976524],-65.399037386856278,,-29462.999732487999,107.02585739538856,-467060.96253451577,116.67374469136121,3.0029671408380185e-86,post_xtb_screened_out,,-467024.93690976524,-65.399037386856278,-467066.56372977374,-29462.999732487999,107.02585739538856,116.67374469136121,-467060.96253451577,true,dmso,1,0
CJCSPKMFHVPWAR-UHFFFAOYSA-N,3,0,CC(N)(C=C1C=CC(=O)C(O)C1)C(=O)O,False,1,,[-467169.5553088019],[-29556.420007533947],[-23.07603339919644],[110.52943994251943],[-467082.1019022586],-23.07603339919644,,-29556.420007533947,110.52943994251943,-467118.12752700911,59.508752198016737,2.3976227785267379e-44,post_xtb_screened_out,,-467082.10190225858,-23.07603339919644,-467169.55530880188,-29556.420007533947,110.52943994251943,59.508752198016737,-467118.12752700911,true,dmso,1,0
CJCSPKMFHVPWAR-UHFFFAOYSA-N,3,1,CC([NH3+])(C=C1C=CC(=O)C(O)C1)C(=O)[O-],True,1,,[-467113.79719334823],[-29496.262247788236],[-58.91058942504383],[108.48092217584784],[-467064.22686059744],-58.910589425043831,,-29496.262247788236,108.48092217584784,-467100.25248534797,77.383793859160505,1.8935832105707659e-57,post_xtb_screened_out,,-467064.22686059744,-58.910589425043831,-467113.79719334823,-29496.262247788236,108.48092217584784,77.383793859160505,-467100.25248534797,true,dmso,1,0
CJCSPKMFHVPWAR-UHFFFAOYSA-N,3,2,CC([NH3+])(C=C1C=CC(=O)C([O-])C1)C(=O)O,True,1,,[-467108.3617336138],[-29491.410286448114],[-74.33477229751483],[109.01523796013875],[-467073.6812679512],-74.334772297514832,,-29491.410286448114,109.01523796013875,-467109.70689270174,67.929386505391449,1.6121783171022333e-50,post_xtb_screened_out,,-467073.68126795121,-74.334772297514832,-467108.36173361383,-29491.410286448114,109.01523796013875,67.929386505391449,-467109.70689270174,true,dmso,1,0
CJCSPKMFHVPWAR-UHFFFAOYSA-N,4,0,CC(N)(C=C1C=CC(O)=C(O)C1)C(=O)O,False,1,,[-467141.03876643395],[-29540.32578558158],[-23.075405889722376],[108.49439227476527],[-467055.6197800489],-23.075405889722376,,-29540.325785581579,108.49439227476527,-467091.64540479943,85.990874407696538,9.2950251884208384e-64,post_xtb_screened_out,,-467055.6197800489,-23.075405889722376,-467141.03876643395,-29540.325785581579,108.49439227476527,85.990874407696538,-467091.64540479943,true,dmso,1,0
CJCSPKMFHVPWAR-UHFFFAOYSA-N,4,1,CC([NH3+])(C=C1C=CC(O)=C(O)C1)C(=O)[O-],True,1,,[-467098.73976168106],[-29489.17580907071],[-57.71643889590175],[108.29640401148463],[-467048.1597965655],-57.716438895901753,,-29489.175809070712,108.29640401148463,-467084.18542131601,93.450857891119085,3.1626033842404928e-69,post_xtb_screened_out,,-467048.15979656548,-57.716438895901753,-467098.73976168106,-29489.175809070712,108.29640401148463,93.450857891119085,-467084.18542131601,true,dmso,1,0
CJCSPKMFHVPWAR-UHFFFAOYSA-N,4,2,CC([NH3+])(C=C1C=CC([O-])=C(O)C1)C(=O)O,True,1,,[-467071.76750504726],[-29466.81990116268],[-66.10184799780696],[108.32286684089978],[-467029.54648620414],-66.101847997806956,,-29466.819901162678,108.32286684089978,-467065.57211095467,112.06416825245833,7.1844505032755976e-83,post_xtb_screened_out,,-467029.54648620414,-66.101847997806956,-467071.76750504726,-29466.819901162678,108.32286684089978,112.06416825245833,-467065.57211095467,true,dmso,1,0
CJCSPKMFHVPWAR-UHFFFAOYSA-N,4,3,CC([NH3+])(C=C1C=CC(O)=C([O-])C1)C(=O)O,True,1,,[-467073.5590534273],[-29469.516394492504],[-61.31708825807581],[107.63949902177154],[-467027.23664266366],-61.317088258075813,,-29469.516394492504,107.63949902177154,-467063.26226741419,114.37401179294102,1.4563524560346629e-84,post_xtb_screened_out,,-467027.23664266366,-61.317088258075813,-467073.55905342731,-29469.516394492504,107.63949902177154,114.37401179294102,-467063.26226741419,true,dmso,1,0
CJCSPKMFHVPWAR-UHFFFAOYSA-N,5,0,CC(N)(C=C1C=CC(O)C(=O)C1)C(=O)O,False,1,,[-467182.5092832816],[-29564.775036116072],[-25.177562627833762],[111.37924378306134],[-467096.3076021263],-25.177562627833762,,-29564.775036116072,111.37924378306134,-467132.33322687686,45.303052330273204,6.2034190363123422e-34,post_xtb_screened_out,,-467096.30760212633,-25.177562627833762,-467182.50928328157,-29564.775036116072,111.37924378306134,45.303052330273204,-467132.33322687686,true,dmso,1,0
CJCSPKMFHVPWAR-UHFFFAOYSA-N,5,1,CC([NH3+])(C=C1C=CC(O)C(=O)C1)C(=O)[O-],True,1,,[-467093.03750960133],[-29480.549936647207],[-58.851603534481896],[107.9212702045742],[-467043.9678429312],-58.851603534481896,,-29480.549936647207,107.9212702045742,-467079.99346768175,97.642811525380239,2.6749852670946553e-72,post_xtb_screened_out,,-467043.96784293122,-58.851603534481896,-467093.03750960133,-29480.549936647207,107.9212702045742,97.642811525380239,-467079.99346768175,true,dmso,1,0
